    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
   92      7.6234      8.5283     10.3735      0.1819       1      0.9809
   93      7.7054      8.7674     10.3735      0.2129       1      0.9902
   94      8.2792      9.2457     10.3735      1.0987       1      0.9946
   95      8.6071      0.0000     11.7731      0.5281       4      1.0447
   96      7.8693      9.0066     10.2911      0.2437       1      1.0075
   97      8.8530      1.4347     18.1124      0.3025      18      0.5790
   98      8.7710      3.5070     14.0783      1.6793       2      1.0237
   99      8.8530      1.7535     12.5963      1.1562       4      1.0235
  100     10.0006      3.2679     12.6787     15.2966       7      0.0370
  101      9.1809      0.0000     12.5963      0.8891       4      1.0520
  102      8.9350      5.1808     12.6787      0.5711      17      0.7033
  103      8.4431      2.5505     15.3132      0.5256       2      1.0409
  104     10.0006      8.2095     17.7008     12.1859       8      0.0494
  105     10.2465      8.0501     12.7610     15.4239      13      0.0350
  106      9.3448      8.1298     11.0321      0.2426       1      1.0100
  107      8.8530      6.3763     12.6787      0.6423      17      0.7020
  108      8.7710      5.7387     13.2550      0.7331      17      0.6461
  109      8.6071      5.7387     12.6787      0.0762      17      0.0832
  110      9.9187      6.0575     17.6184      7.6686      79      0.0144
  111      8.7710      1.4347     17.6184      0.0778      18      0.1216
  112      9.9187      5.9778     15.4779      2.5441      23      0.0143
  113      9.0989      1.9129     17.6184      0.5681      18      0.6837
  114      9.5088      7.9704     10.5381      0.3367       1      0.9978
  115     10.1646      0.4782     18.6887      7.5808      71      0.0564
  116      9.1809      1.1159     17.1244      0.9841      18      0.7132
  117     10.1646      1.1159     10.1265      3.2334      24      0.0308
  118      9.4268      8.0501     10.8674      0.0560       1      1.0021
  119     10.0826      5.8184      9.9618      2.7146      61      0.1867
  120     10.4105      3.9055     17.7008     13.6989      14      0.0545
  121     10.1646      1.1956     14.9839      1.9994      62      0.0764
  122     11.7220      1.0362     12.5963      2.8354      28      0.0608
  123     11.9680      1.1956     17.9477      1.4973      64      0.1083
  124     11.8040      0.3188     15.9718      7.7923      83      0.0436
  125     11.9680      5.6590     12.6787      2.2822      63      0.0043
  126     11.6401      8.1298     15.0662      2.4574      30      0.0728
  127     11.8860      3.7461     15.3132      1.9754      42      0.0517
  128     12.0499      8.2892     18.1947      7.5101      77      0.0493
  129     12.6237      3.5867     18.0301      0.2579      58      0.8171
  -------------------------------------------------------------------------
