   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...      98   99  100  103  104  105  110  119  122
     2   ...      96  101
     4   ...      91   92  102  107
     5   ...      18
     6   ...       1    8
     7   ...     106
     8   ...     116
     9   ...      72
    10   ...      73
    11   ...      85
    12   ...      76
    13   ...     109
    14   ...     124
    15   ...      53
    16   ...      55
    17   ...      78   79   87   89  108  111  113  118
    18   ...      83   88   90  112
    19   ...      34   41   42   44   54   61   65
    20   ...      38   39   46   56   58   60   62
    21   ...      51
    22   ...      45
    23   ...     126
    24   ...     120
    25   ...      82
    26   ...      86
    27   ...     130
    28   ...       9
    29   ...      17
    30   ...     128
    31   ...      77
    32   ...      84
    33   ...      74
    34   ...      75
    35   ...      64
    36   ...      71
    37   ...      40
    38   ...      36
    39   ...      43
    40   ...      35
    41   ...      26
    42   ...      13
    43   ...      47
    44   ...      63
    45   ...      68
    46   ...      69
    47   ...      21
    48   ...      30
    49   ...      14
    50   ...       4
    51   ...       2
    52   ...      12
    53   ...      11   31
    54   ...       6
    55   ...      15
    56   ...      32   37
    57   ...       3
    58   ...      16  132
    59   ...      33
    60   ...      29
    61   ...     114  125
    62   ...     123
    63   ...      19  131
    64   ...       5
    65   ...      66
    66   ...       7
    67   ...      48
    68   ...      23
    69   ...      49
    70   ...      59
    71   ...     121
    72   ...      70
    73   ...      28
    74   ...      97
    75   ...      80
    76   ...      20
    77   ...      27
    78   ...      94
    79   ...     117
    80   ...      52
    81   ...      10
    82   ...      24
    83   ...     129
    84   ...      50
    85   ...      81
    86   ...      95
    87   ...      67
    88   ...      25
    89   ...     127
    90   ...      93
    91   ...     115
    92   ...      57
    93   ...      22
  ------------------------------------------------------------------------
