   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...      83   84   85   88   89
     2   ...      81   82   90   92
     3   ...      78   79   96
     4   ...      80   86   87   93
     5   ...      23   26   28
     6   ...       1    6
     7   ...      91
     8   ...      17
     9   ...      65
    10   ...      56
    11   ...      68
    12   ...      69
    13   ...       9
    14   ...      14
    15   ...      53
    16   ...      51
    17   ...      66   67   76   77   94   95   98   99  100
    18   ...      15   16   18   54   57   72  102
    19   ...      41   43   45   52   55   59   62
    20   ...      13   35   37   38   47   49
    21   ...      42
    22   ...      46
    23   ...     104  107
    24   ...     101
    25   ...      74
    26   ...      75
    27   ...     106
    28   ...       7
    29   ...      21
    30   ...     109
    31   ...      71
    32   ...      70
    33   ...      73
    34   ...      64
    35   ...      60
    36   ...      34
    37   ...      25   40
    38   ...      31
    39   ...      44
    40   ...      39
    41   ...      27
    42   ...     110
    43   ...      48
    44   ...      58
    45   ...      50   61
    46   ...      63
    47   ...      36
    48   ...       8   12
    49   ...      22
    50   ...       4
    51   ...       2
    52   ...      32
    53   ...      10
    54   ...       5
    55   ...      20
    56   ...      29
    57   ...       3
    58   ...      11
    59   ...      19   30
    60   ...      33
    61   ...      97  103
    62   ...     105
    63   ...      24
    64   ...     108
  ------------------------------------------------------------------------
