   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...      92   93   94   95   98  106
     2   ...      87   88   89   90  102
     3   ...      81
     4   ...      84   96   97   99  115
     5   ...      18   21   25   26   28
     6   ...       1    8
     7   ...     100
     8   ...     104
     9   ...      69
    10   ...      67
    11   ...      76
    12   ...      71
    13   ...     101
    14   ...     108
    15   ...      54
    16   ...      49
    17   ...      72   80   82   83  103  107  109  112  113
    18   ...      85   86  105  110  114
    19   ...      41   42   43   56   57   58   61
    20   ...      23   38   39   55
    21   ...      36
    22   ...      45
    23   ...     118
    24   ...     117
    25   ...      77
    26   ...      75
    27   ...      27
    28   ...      10
    29   ...      13
    30   ...       9
    31   ...      73
    32   ...      79
    33   ...      70
    34   ...      65
    35   ...      60
    36   ...      66
    37   ...      47   48
    38   ...      33
    39   ...      40
    40   ...      46
    41   ...      31
    42   ...      17
    43   ...      44
    44   ...      51
    45   ...      63
    46   ...      62
    47   ...      37
    48   ...       5
    49   ...      16
    50   ...       4
    51   ...       2
    52   ...      35
    53   ...      12
    54   ...       6   29
    55   ...      15
    56   ...      32
    57   ...       3
    58   ...      14
    59   ...      22
    60   ...      34
    61   ...     119  121
    62   ...     120
    63   ...      19   20
    64   ...     123
    65   ...      64
    66   ...       7
    67   ...      53
    68   ...      24
    69   ...      50
    70   ...      59
    71   ...     116
    72   ...      68
    73   ...      30
    74   ...      91
    75   ...      74
    76   ...     122
    77   ...     124
    78   ...      78
    79   ...     111
    80   ...      52
    81   ...      11
  ------------------------------------------------------------------------
